tipo|sorteo|num1|num2|num3|num4|num5|power|fecha
baloto|2081|22|23|27|28|30|03|01 de Mayo de 2021
revancha|2081|01|16|34|41|43|02|01 de Mayo de 2021
baloto|2082|02|05|10|23|34|07|05 de Mayo de 2021
revancha|2082|03|15|17|29|32|16|05 de Mayo de 2021
baloto|2083|04|08|09|28|37|11|08 de Mayo de 2021
revancha|2083|05|10|24|29|41|11|08 de Mayo de 2021
baloto|2084|04|23|28|29|31|16|12 de Mayo de 2021
revancha|2084|04|06|08|09|16|05|12 de Mayo de 2021
baloto|2085|03|05|25|30|42|08|15 de Mayo de 2021
revancha|2085|17|26|31|35|38|10|15 de Mayo de 2021
baloto|2086|09|12|16|21|30|01|19 de Mayo de 2021
revancha|2086|13|20|29|39|40|16|19 de Mayo de 2021
baloto|2087|08|29|32|34|42|05|22 de Mayo de 2021
revancha|2087|02|09|13|35|39|12|22 de Mayo de 2021
baloto|2088|03|09|12|34|35|13|26 de Mayo de 2021
revancha|2088|05|16|31|32|33|14|26 de Mayo de 2021
baloto|2089|08|12|18|40|43|04|29 de Mayo de 2021
revancha|2089|01|08|18|29|40|02|29 de Mayo de 2021
baloto|2090|01|15|22|36|37|13|02 de Junio de 2021
revancha|2090|03|05|22|26|35|03|02 de Junio de 2021
baloto|2091|01|04|05|16|30|07|05 de Junio de 2021
revancha|2091|01|09|10|13|27|08|05 de Junio de 2021
baloto|2092|07|14|20|34|41|04|09 de Junio de 2021
revancha|2092|06|07|26|27|41|15|09 de Junio de 2021
baloto|2093|09|15|25|27|33|13|12 de Junio de 2021
revancha|2093|18|19|25|26|43|09|12 de Junio de 2021
baloto|2094|07|08|21|30|42|02|16 de Junio de 2021
revancha|2094|02|06|28|34|38|11|16 de Junio de 2021
baloto|2095|01|05|08|14|40|08|19 de Junio de 2021
revancha|2095|05|08|14|26|33|03|19 de Junio de 2021
baloto|2096|06|19|20|37|38|10|23 de Junio de 2021
revancha|2096|15|16|17|39|41|09|23 de Junio de 2021
baloto|2097|06|21|22|34|36|10|26 de Junio de 2021
revancha|2097|04|14|31|32|43|16|26 de Junio de 2021
baloto|2098|26|29|39|42|43|04|30 de Junio de 2021
revancha|2098|23|28|35|37|38|15|30 de Junio de 2021
baloto|2099|21|22|23|33|41|08|03 de Julio de 2021
revancha|2099|01|09|13|22|29|14|03 de Julio de 2021
baloto|2100|05|09|16|29|42|11|07 de Julio de 2021
revancha|2100|05|17|21|26|31|07|07 de Julio de 2021
baloto|2101|08|15|30|35|36|03|10 de Julio de 2021
revancha|2101|03|05|25|27|36|14|10 de Julio de 2021
baloto|2102|07|08|18|34|42|08|14 de Julio de 2021
revancha|2102|20|24|27|29|36|01|14 de Julio de 2021
baloto|2103|14|18|20|32|33|04|17 de Julio de 2021
